album;song_title;section;lyric_bait;meaning_bait;source
Scorpion;8 Out of 10;Verse 2: Drake;"Miss makin' 'em pay
Helipad from Will Smith crib straight to the stage
Three Forum shows but I played Staples today
The neighborhood is smokey, y'all stay safe in this place (True)";Drake menekankan kesuksesan dan pengaruhnya yang luar biasa, menggambarkan gaya hidup mewah seperti naik helikopter dari rumah Will Smith ke panggung, serta menunjukkan kapasitasnya mengisi arena besar seperti Staples Center. Ia juga menyentil kondisi sosial di sekitarnya yang tidak stabil, menyiratkan bahwa meski ia sukses, dunia di luar tetap penuh tantangan.;genius.com
Scorpion;8 Out of 10;Chorus: Drake;"Drizzy 'bout to drop, the game is in disarray
I'd tell you hear me out but we both know end of the day
Your niggas is pressin' play, your nanny is pressin' play
Your wifey, your wifey, your wifey, your wifey— (True)";"Drake menyatakan bahwa setiap kali ia merilis musik, industri rap menjadi kacau karena pengaruhnya begitu besar; bahkan orang-orang terdekat dari pesaingnya—teman, pengasuh, hingga istri mereka—pun mendengarkan karyanya. Ini menekankan dominasi dan daya tarik universal Drake dalam budaya pop.";genius.com
Scorpion;8 Out of 10;Verse 3: Drake;"Had to go and hit reset, now we here
I been on top for three sets of three years
I can't be around the niggas you minglin' with
I can't fly if I could sit on the wing of that shit (True)
I try to pay it less mind
They been keepin' tabs on me like I'm payin' next time
I think I sense a little fear from the other side
White vans parked across the street, real subtle guys (True)";Drake merefleksikan bagaimana ia harus memulai ulang dan kembali lebih kuat, menegaskan bahwa ia telah berada di puncak selama hampir satu dekade. Ia juga menyampaikan ketidaknyamanannya terhadap lingkungan sosial tertentu dan menyiratkan bahwa ia merasa diawasi, menunjukkan tingkat paranoia atau kewaspadaan yang tinggi akibat ketenarannya.;genius.com
Scorpion;8 Out of 10;Bridge: Drake;"Yeah, never a matter of ""could I?"" or ""should I?""
Kiss my mom on the forehead then kiss your ass goodbye
As luck would have it, I've settled into my role as the good guy
I guess luck is on your side
I guess luck is on your side
All sevens, no sixes, rest easy, get some shut eye
Hold on, hold up, but I—";Drake menyatakan bahwa ia tak pernah ragu akan kemampuannya untuk bertindak jika perlu, menyiratkan bahwa ia siap mengambil langkah tegas terhadap lawan. Ia juga menegaskan perannya sebagai 'the good guy' meski tetap mengancam secara halus, menunjukkan bahwa keberuntungannya dan posisinya di puncak adalah hasil dari kendali penuh atas situasi.;genius.com
Scorpion;8 Out of 10;Outro: Plies;"Hahaha, I can't argue with you, no! You mad!
Look at you, you mad! You big mad! Haheheh
I'm happy! Leave me alone!
I just want some money, a lot of money
I don't get paid to argue with you
No! Who is you? You ain't nobody!
You mad";Bait ini menggambarkan sindiran terhadap orang-orang yang iri atau marah pada kesuksesan Drake, di mana ia dengan santai menolak untuk terlibat dalam perdebatan dengan mereka karena menurutnya mereka tidak penting dan tidak setara secara status atau pencapaian.;genius.com
Scorpion;Mob Ties;Verse 1;"Ayy, sick of these niggas (Sick)
Sick of these niggas (Sick, sick)
Hire some help (Help), get rid of these niggas (Skrr)
Sick of this shit, move to the Ritz
Turned out the bitch (Ayy)
It is what it is, yeah
GLE, 'cause that Lambo movin' fast (Skrr)
S Class, G Class, lotta class (Sss, sss)
In a rocket and that bitch ain't got no tags (Skrr, skrr)
Louis bags in exchange for body bags, yeah";Bait ini mencerminkan frustrasi dan kemarahan Drake terhadap orang-orang yang mencoba mengganggu atau memanfaatkannya, dengan nuansa ancaman tersirat yang menunjukkan bahwa dia siap mengambil tindakan ekstrem jika perlu, sembari memamerkan gaya hidup mewahnya sebagai simbol kekuasaan dan status.;genius.com
Scorpion;Mob Ties;Pre-Chorus 1;"Sick of these niggas (Sick)
Sick of these niggas (Sick, sick)
Hire some help (Help), get rid of these niggas (Grr)
Fuck what it was, it is what it is (What)
Whatever you did, it is what it is";Bait ini menunjukkan ketegasan Drake untuk mengatasi orang-orang yang mengganggu atau tidak setia, dengan sikap tak peduli terhadap masa lalu dan lebih fokus pada keadaan saat ini. Ia memilih untuk menyelesaikan masalah secara langsung tanpa terlalu memikirkan apa yang telah terjadi sebelumnya.;genius.com
Scorpion;Mob Ties;Chorus;"And I'm so tired (tired)
I fuck with the mob and I got ties (Lotta ties, lotta ties)
Knock you off to pay their tithes (Do doo)
They want me gone but don't know why
It's too late for all that lovey-dovey shit
I'm your brother shit, all that other shit
It's too late for all that
It's too late for all that, ayy
It's too late for all that lovey-dovey shit
I'm your brother shit, all that other shit
It's too late for all that, ayy
It's too late for all that";Dalam bait ini, Drake mengekspresikan ketidakpeduliannya terhadap sikap manis atau hubungan yang penuh basa-basi. Ia menegaskan bahwa sudah terlambat untuk memperbaiki hubungan yang telah rusak, dan ia lebih fokus pada kesetiaan serta ikatan dengan kelompoknya, meski ada pihak yang ingin melihatnya jatuh.;genius.com
Scorpion;Mob Ties;Post-Chorus;"Ayy, sick of these niggas
I'm sick of these niggas
Hire some help, get rid of these niggas
I'm not with the ra-ra
I am a Dada
My bitch in Chanel now
Your bitch in Escada (Sick, sick, sick, sick)";Dalam bait ini, Drake mengekspresikan ketidakpeduliannya terhadap sikap manis atau hubungan yang penuh basa-basi. Ia menegaskan bahwa sudah terlambat untuk memperbaiki hubungan yang telah rusak, dan ia lebih fokus pada kesetiaan serta ikatan dengan kelompoknya, meski ada pihak yang ingin melihatnya jatuh.;genius.com
Scorpion;Mob Ties;Verse 2;"Yeah, and they shook
Please don't let them fool ya, I don't care how they look (Nah)
Heard all of the talkin', now it's quiet, now it's shush (Shh)
Twenty-nine is comin', they on edge when I cook (Cook)
Lead the league in scorin', man, but look at my assists (Shh)
Yes I be with Future but I like to reminisce (Yeah)
I do not forget a thing, I'm patient, it's a gift (yeah)
Try to tell 'em they ain't got to do it, they insist (they insist)
Yeah, I can tell
I just gave 'em two for forty million like Chappelle (Two)
Standin' over coffin with a hammer and a nail (Two)
Heard you hit up so and so, that name don't ring a bell, nah";Drake menekankan sikapnya yang penuh kewaspadaan dan ketenangan, meskipun ada banyak pembicaraan di sekitarnya. Ia mengingatkan untuk tidak terpengaruh oleh penampilan luar dan membanggakan kesuksesan yang diraihnya, baik dalam musik maupun dalam hubungan bisnis. Ia juga menunjukkan bahwa meskipun ada orang yang ingin terlibat dalam kesuksesannya, ia tetap fokus dan tidak mudah terpengaruh oleh mereka.;genius.com
Scorpion;Mob Ties;Pre-Chorus 2;"Sick of these niggas (Sick)
Hire some help, get rid of these niggas
I'm sick of this shit (Sick, sick)
I'm runnin' a blitz (Ayy)
Whatever you did (Ayy), it is what it is";Drake menunjukkan rasa frustrasi terhadap orang-orang di sekitarnya dan mencerminkan keinginan untuk menghindari masalah serta membersihkan dirinya dari pengaruh buruk. Ia menegaskan bahwa apa yang sudah terjadi adalah takdir dan tidak bisa diubah, serta lebih memilih fokus pada kesuksesan dan menyelesaikan masalah secara langsung.;genius.com
Scorpion;Mob Ties;Chorus;"And I'm so tired (Tired)
I fuck with the mob and I got ties (Lotta ties, lotta ties)
Knock you off to pay their tithes (Do doo)
They want me gone but don't know why
It's too late for all that lovey-dovey shit
I'm your brother shit, all that other shit
It's too late for all that
It's too late for all that, ayy
It's too late for all that lovey-dovey shit
I'm your brother shit, all that other shit
It's too late for all that, ayy
It's too late for all that";Drake mengekspresikan kelelahan terhadap orang-orang yang berpura-pura peduli padanya, tetapi pada kenyataannya, dia merasa bahwa hubungan mereka sudah terlambat untuk diperbaiki. Dia menegaskan bahwa dia memiliki koneksi kuat dengan dunia yang lebih keras, dan bahwa dia lebih fokus pada loyalitas dan kesetiaan daripada emosi yang tidak nyata.;genius.com
Scorpion;Can’t Take a Joke;Verse 1;"UberX to Hidden Hills
Give me somethin' I can feel
If they come to Hidden Hills
Then I know they know the deal
We just right there up the road
You could hit it with a stone
I be out here on my own
I'm just tryna set the tone
I've been kicked when I was down
None of that shit matter now
Niggas think they run the town
'Til we run 'em out of town
And they gotta relocate
Gotta dip from where they stay
Everything will be okay
Man, just stay up out my way";Drake menyatakan bahwa meskipun dia pernah merasa terjatuh, kini dia berada di posisi yang kuat dan siap untuk mengusir siapa saja yang mencoba merusaknya atau meragukan kemampuannya. Lirik ini menunjukkan ketegasan dan keinginan untuk mengendalikan situasi, sambil menekankan pentingnya menjaga jarak dengan orang-orang yang tidak tahu kedudukan mereka.;genius.com
Scorpion;Can’t Take a Joke;Chorus;"Skid around ends with the bros and I'm kitted to the toes
If I touch studio then we got one
I be tryna laugh with the bros 'bout the opps that we know
But they can't take a joke, 'cause it's not one
Think it's 'cause we live by the code, reputation to uphold
Makin' me the one they gotta take the spot from
I be tryna laugh with the bros but they can't take a joke";Drake mencerminkan kesulitan dalam bercanda dengan teman-temannya yang terlibat dalam kehidupan keras, di mana lawakan tentang musuh atau situasi tertentu sering kali dianggap serius dan tidak dipahami sebagai lelucon. Ini menunjukkan ketegangan yang ada dalam lingkungannya, di mana reputasi dan kode etik sangat dijunjung tinggi.;genius.com
Scorpion;Can’t Take a Joke;Interlude;"Ayo, blast that shit, Maxx
Blast that shit back if you blastin'
Yeah, yeah";Bait ini mengandung seruan untuk meningkatkan intensitas musik, dengan Drake meminta agar lagu diputar lebih keras. Ini bisa diartikan sebagai dorongan untuk menikmati momen dengan penuh energi, mungkin sebagai bentuk pelepasan dari situasi atau perasaan tertentu.;genius.com
Scorpion;Can’t Take a Joke;Verse 2;"Back and forth to Italy
My comment section killin' me
I swear I get so passionate
Y'all do not know the half of it
I grew up with the Reps Up boys, we crashin' it and splashin' in
And when I say they crashin' it, I do not mean a accident
I'm– I'm still in the studio at 6:45
And my haters either on they way to work or they arrived
And I gotta own the things I rap about just for my pride
You know when it comes to pride, I can't put that shit aside
I've been kicked when I was down
None of that shit matter now
They be throwin' in the towel
I do yellowtail at TAO
They be watchin' what they say
Especially when it's to my face
Everything will be okay
Man, just stay up out my way";Drake mengungkapkan rasa frustasi terhadap kritik yang ia terima di media sosial, namun ia tetap berkomitmen pada integritasnya dan tidak akan menurunkan pride-nya. Ia juga menegaskan bahwa meskipun ada rintangan, ia tetap fokus pada pekerjaannya dan tidak terpengaruh oleh komentar negatif.;genius.com
Scorpion;Can’t Take a Joke;Chorus;"Skid around ends with the bros and I'm kitted to the toes
If I touch studio then we got one
I be tryna laugh with the bros 'bout the opps that we know
But they can't take a joke, 'cause it's not one
Think it's 'cause we live by the code, reputation to uphold
Makin' me the one they gotta take the spot from
I be tryna laugh with the bros but they can't take a joke";Drake mengungkapkan bahwa meskipun ia sering bersantai dan bercanda dengan teman-temannya, ada orang yang tidak bisa memahami humor tersebut karena mereka terlalu serius atau terikat pada reputasi yang harus dijaga. Ini mencerminkan perbedaan antara sikap santai Drake dan tekanan yang dirasakan oleh orang lain di lingkungannya.;genius.com
Scorpion;Sandra's Rose;Verse 1: Drake;"Niggas see the crib and ask who did I steal from
Price tags on makin' the world feel some
They don't have enough to satisfy a real one
Maverick Carter couldn't even get the deal done
Niggas scared to come towards us, gotta run from us
Louisville hush money for my young gunners
Rick Pitino, I take 'em to strip clubs and casinos
Stack of C-notes, get all you niggas scratched like Preemo
Worms, I just opened up a can of those
My mother had a flower shop, but I was Sandra's rose
Two girls that I rope like Indiana Jones
I make them hoes walk together like I'm Amber Rose
Yeah, fuck that, I got to up the ante
California girls sweeter than pieces of candy
Had me all in Nipsey hood to go link up with Sammy
Type of hood where bandanas make niggas a family
Head on a swivel, I could shoot but I could never dribble
Life too short, I gotta get it 'fore they blow the whistle
My uncle tryna change my energy with stones and crystals
But it's gon' take more than that for me to control my issues
I wasn't made for no casket or no prison cell
Every title doin' numbers like I'm Miss Adele
Sandra knows I pulled us out of a living hell
I'm the chosen one, flowers never pick themselves";Dalam bait ini, Drake menggambarkan perjalanannya dari masa sulit menuju kesuksesan besar, sekaligus menekankan perjuangannya yang otentik dan tidak bisa ditiru. Ia menyindir pihak-pihak yang meragukan atau iri, menyampaikan loyalitas terhadap lingkungannya, dan menyoroti perbedaan nilai antara dirinya dan orang-orang yang mengejarnya demi keuntungan.;genius.com
Scorpion;Sandra's Rose;Verse 2: Drake;"Niggas want a classic, that's just ten of these
Crime family like the Genovese, you don't want drama, capisc'?
My house is full of supermodels just like Mohamed Hadid
I take this shit too serious, you niggas my comic relief
I find it funny how I keep on talkin' and commas increase
I'm standin' at the top of where you niggas are climbin' to reach
I even got my very own initials inscribed on my sheets
Subtle reminders are key, jeez!
Spoiler alert: the second act is tragic
And everyone that wants the worst for me's askin' what happened
Backstabbed so many times I started walkin' backwards
Like Charlamagne, I see the light and see the darkest patches
Bury me and I'll be born again
I walk in godly form amongst the mortal men
I got some real demons across the border fence
And made a note of the mistakes we can't afford again
Like I said, can of worms and I'm the early bird
Niggas want to hang but I'm too busy doin' dirty work
Hit 'em back and say we'll link up on the 33rd
When I say that they cursin' me, it ain't dirty words
Church of Pentecost, Holy Spirit synagogue
I don't know who's protectin' me but we hit it off
Sandra's rose, no wonder they tryna pick me off
I guess you gotta show these niggas who you really are";Drake menegaskan posisi dominannya di industri musik, membandingkan dirinya dengan figur-figur kuat dan spiritual untuk menunjukkan kompleksitas hidupnya—dari pengkhianatan hingga pencapaian besar. Ia juga menyindir lawan-lawan yang mencoba menjatuhkannya dan menyiratkan bahwa kekuatan spiritual dan pengalaman pribadi membentuk daya tahannya.;genius.com
Scorpion;Talk Up (Ft. JAY-Z);Verse 1: Drake;"Ten of us, we movin' as one
I'm so proud of who I've become
You might think I've taken some lumps
Only if we talkin' 'bout sums (Yeah)
Intentions are pure, they cannot tell me relax
My mentions are jokes, but they never give me the facts
This isn't that, can't be ignorin' the stats
Based off of that, they gotta run me the max
They gotta run me the max, they gotta double the racks
They had it set up for real, but they didn't come with the slaps
When I heard the shit I was skippin' through that
If I get it trippin', it's no comin' back
I don't understand, these niggas gotta adapt
You know where I'm at, I put the 6 on the map
Your shorty was bent, she wanted to vent
I promise it fell in my lap
My money is young, my problems are old
I promise I'm bridgin' the gap";Drake menegaskan kepercayaan dirinya atas pencapaian karier dan loyalitas terhadap rekan-rekannya, sambil menyindir para pesaing yang gagal memenuhi ekspektasi musik. Ia juga menyinggung tentang ketidakseimbangan antara kritik di media sosial dan kenyataan prestasi, serta menyatakan bahwa ia terus berkembang meski masalah lama masih membayang.;genius.com
Scorpion;Talk Up (Ft. JAY-Z);Refrain: Drake;"Niggas provoke, this shit ain't a joke, man, nobody playin'
He's at the top and he's at the top, but nobody stayin'
These niggas around but they ain't around
You know what I'm sayin'?
Say that they down, when they shit is down
You know what I'm sayin'?";Drake mengkritik kepalsuan dan ketidakkonsistenan orang-orang di sekitarnya—mereka berpura-pura setia atau hadir saat keadaan baik, tapi menghilang saat keadaan sulit. Ia juga menegaskan bahwa permainan ini bukan main-main: kesuksesan tidak menjamin posisi tetap, karena banyak yang naik tapi tak bertahan.;genius.com
Scorpion;Talk Up (Ft. JAY-Z);Verse 2: JAY-Z;"Yo, get close enough to HOV, smell like a kilo still (Still)
First album 26, I ain't need no deal (Real)
Already a hood legend, I ain't need no Shyne (Woo!)
First Rollie flooded out, I ain't see no time, woah
Stand-up niggas, we only duckin' indictments
Dope boys, Off-White, lookin' like soft white on 'em
Heh, you know what I'm sayin'?
We in the buildin', we came for a billion, ain't nobody playin'
Live every word that I'm rappin'
Say I lost 90 bricks and it happened
You probably wouldn't believe
Everything that you seein' right now if it wasn't live action
I ain't on the 'Gram, they record who I am
God to these dope boys, how do you not be a HOV fan?
I'm what Meech shoulda been
I'm what Supreme didn't become
If Alpo didn't snitch, niggas'd be like Young
I got your President tweetin', I won't even meet with him
Y'all killed X and let Zimmerman live, shhh, s-streets is done";Jay-Z merefleksikan statusnya sebagai legenda yang sudah sukses bahkan sebelum industri mengakuinya, menekankan keaslian hidupnya yang tercermin dalam lirik. Ia membandingkan dirinya dengan tokoh-tokoh dunia kriminal seperti Meech dan Supreme, sekaligus mengkritik ketidakadilan sosial, seperti kematian XXXTentacion dan kebebasan George Zimmerman, yang menurutnya mencerminkan bahwa jalanan (streets) kini kehilangan arah dan moralitas.;genius.com
Scorpion;Talk Up (Ft. JAY-Z);Refrain: Drake;"Niggas provoke, this shit ain't a joke, man, nobody playin'
He's at the top and he's at the top, but nobody stayin'
These niggas around but they ain't around
You know what I'm sayin'?
Say that they down, when they shit is down
You know what I'm sayin'?";"Drake menyindir orang-orang yang berpura-pura loyal tapi sebenarnya tidak hadir saat dibutuhkan, dan menyoroti kenyataan bahwa ketenaran bersifat sementara—banyak yang 'di puncak', tapi tak ada yang bisa bertahan lama. Ia juga menekankan bahwa situasi yang ia hadapi bukan permainan; ia serius dalam menjaga posisinya dan tak punya waktu untuk kepalsuan.";genius.com
Scorpion;Is There More;Verse 1: Drake;"Only holdin' up I do is my end of the bargain
Only beggin' that I do is me beggin' your pardon
Only tryin' that I do is me tryin' the hardest
Only problems I do are math problems with profit
Only lyin' I do is lyin' out in the tropics
Only cryin' I do is cryin' from laughin' 'bout it
Only lackin' I can do is my lack of responses
Only rest that I do is ""Where the rest of my commas?""
Still I rise, Maya Angelou vibes
When life comin' at you from all angles and sides
And they don't wanna see that you smilin' from inside
It really boils down to how you plan to survive
Love certain ones but never get attached to 'em
Give 'em nice things, but what's that to 'em?
Especially when another girl I flew in is flickin' up in my bathroom
And they recognize the bathroom
All hell starts to break loose in my texts
I only tell lies to who I gotta protect
I would rather have you remember me how we met
I would rather lose my leg than lose their respect
But that'll never happen the way I'm watchin' my step
That ain't what I'm 'bout
I'm in control of my destiny, never in doubt
If I can't make it with you, I'll make it without
They say take the good with the bad, I'll take it without
Houston women I wine-and-dine and take to the house
My moral compass is janky, it breaks in the South
Is there more to life than digits and bankin' accounts?
Is there more to life than sayin' I figured it out?
Is there more? Yeah";Drake menegaskan integritas dan komitmennya dalam hidup dan karier, sambil menunjukkan sisi reflektif tentang ketenaran, hubungan, dan pencarian makna di luar kekayaan. Ia menampilkan diri sebagai seseorang yang bertanggung jawab atas pilihannya dan menyadari kompleksitas emosional serta spiritual dari hidup yang ia jalani.;genius.com
Scorpion;Is There More;Verse 2: Drake;"Sweeter the berry, the blacker the juice
The boy is back in the booth, ready to tap into truth
Too many lyrics 'bout houses and loot
Too many Walt Disney characters, mouses and goofs
I mean you know I love a challenge, but challenged by who?
I'll let you bring a thousand recruits
My peers are a talented group
But even if you take all their statistics and carry the two
Even if you rounded up the numbers and rounded the troops
There's still nothin' they could really do
It's too bad reality checks don't cover the balances due
Whenever it's time to recoup
Yeah, soon as this album drop I'm out of the deal
In the house playin' D'Angelo, ""How Does It Feel?""
I got a fear of havin' things on my mind when I die
What you got, time on your hands or time on your side?
Is there any sense in doin' these songs when I'm high?
Is there more to life than goin' on trips to Dubai?
Yachts on the 4th of July, G5 soarin' the skies
Is there more to life than all of these corporate ties
And all of these fortunate times
And all of these asses that never come in proportionate size?
Am I missin' somethin' that's more important to find?
Like healin' my soul, like family time
Is there more to life than just when I'm feelin' alive?
Is there more?";"Drake merefleksikan kebosanan dan kehampaan spiritual yang ia rasakan meski memiliki kekayaan, ketenaran, dan kesuksesan; ia mempertanyakan apakah ada hal yang lebih bermakna dari sekadar materi dan pencapaian luar, seperti waktu bersama keluarga atau kedamaian batin.";genius.com
Scorpion;Is There More;Outro: Nai Palm;"Passion, instant
Sweat beads, feel me (Feel me)
Cupid's shot me
My heartbeat's racing (My heartbeat's racing)
Tempt me, drive me (Tempt me)
It feels so exciting
Thought of highly (Highly)
It's yours entirely
I'll be, I'll be more than a lover
More than a woman
More than a lover for you";Drake menggambarkan perasaan yang sangat kuat dan mendalam dalam hubungan asmara, di mana ia ingin lebih dari sekadar menjadi kekasih, tetapi juga menjadi sosok yang luar biasa penting bagi pasangannya, menonjolkan gairah dan komitmennya.;genius.com
Scorpion;Peak;Verse 1: Drake;"Treat you like princess
Rest in heaven, Diana
Piquing my interest
She got peak like Montana
England breeds proper girls
Where are all your good manners?
Reply with pleasantries
Honestly, I can't stand ya";"Pada baris pertama, ""Treat you like princess,"" Drake secara langsung menyatakan niatnya untuk memperlakukan pasangannya dengan penuh kasih sayang dan hormat, layaknya seorang bangsawan. Namun, referensi berikutnya membuat pernyataan ini menjadi ambigu dan ironis.

Lirik ""Rest in heaven, Diana"" adalah inti dari bait ini. Ini adalah referensi langsung kepada Putri Diana, seorang sosok yang sangat dicintai oleh publik dan dikenal sebagai ""Princess of Hearts."" Kematiannya yang tragis dan mendadak adalah fakta yang tidak bisa diabaikan. Dengan menyebut nama Diana, Drake menciptakan kontras yang tajam: di satu sisi, ia ingin memperlakukan pasangannya dengan kemuliaan seorang putri, tetapi di sisi lain, ia secara tidak langsung menghubungkan status ""putri"" tersebut dengan akhir yang tragis, yaitu kematian. Perumpamaan ini dapat diartikan sebagai pengakuan bahwa hubungan yang ia jalani, meskipun dimulai dengan niat yang baik, mungkin ditakdirkan untuk berakhir dengan kesedihan, atau setidaknya membawa beban yang sangat besar, sama seperti beban yang dibawa oleh Putri Diana.

Baris terakhir, ""Piquing my interest,"" menunjukkan bahwa daya tarik Drake terhadap wanita ini bukan hanya berasal dari keindahan atau karakternya, tetapi juga dari aura kehancuran atau kerentanan yang ia miliki. Ketertarikannya terpicu oleh kombinasi antara keanggunan seorang putri dan kesedihan yang tak terhindarkan yang ia proyeksikan padanya. Ini adalah sebuah pengakuan jujur yang dingin, bahwa di balik niatnya untuk merawat dan menghormati, ada ketertarikan yang hampir bersifat obsesif terhadap sisi tragis dari wanita tersebut.";genius.com
Scorpion;Peak;Verse 2: Drake;"What you thought of me?
Never had me missin' a beat
That's just a view from a cheap seat
They don't want problems with me
Talk used to be cheap; nowadays, it's free
People are only as tough as their phone allows them to be
Girl, that could never be me
I found my peace, I'm about to say my piece
You might not agree with me";Drake menyatakan bahwa ia tidak terpengaruh oleh penilaian orang lain dan merasa lebih tenang, karena ia tidak akan membiarkan kritik atau omongan orang mempengaruhi dirinya, meski terkadang orang hanya berani berbicara ketika berada di balik layar digital.;genius.com
Scorpion;Peak;Interlude: Stefflon Don;"Bitch been with this boy, yeah, for four weeks
I told her go on a date
All of a sudden, she married
Didn’t say get bloodclaat married";Drake menggambarkan situasi di mana seorang wanita yang sebelumnya bersamanya dalam waktu singkat tiba-tiba menikah, mungkin karena pengaruh atau situasi yang terjadi begitu cepat dan tanpa peringatan yang jelas dari pihaknya.;genius.com
Scorpion;Peak;Outro: Stefflon Don, Vinessa Douglas & Rhea Kpaka;"— What I'm sayin', in today really at our big, big age if you're gettin' with someone right now and you're linking them for couple weeks, they should know 'This is the girl I kinda want to see' so lemme lock off the ting but obviously in the world that we live in today is not like that
— He is… did that — but obviously it takes time— You're chattin' shit. First of all you shouldn't have no problems at the beginning, it should be like honeymoon–
— That's what I said, that's what I said! The beginning is always honeymoon season
— Yeah, well you overdo it and he's overdoin' it. Both of you are overdoin' it right now
— Yeah, well, alright";Percakapan dalam bait ini menggambarkan pandangan tentang hubungan romantis yang ideal, di mana pada awalnya seharusnya ada kejelasan tentang niat kedua pihak, tetapi kenyataannya, hubungan sering kali tidak berjalan seperti itu karena ekspektasi dan kenyataan yang sering bertentangan.;genius.com
Scorpion;Summer Games;Chorus;"I think you're changing your mind
Starting to see it in your eyes
I used to love a good surprise
And now, I'd rather know ahead of time
You said ""I love you"" too fast
So much for that, girl, summer just started
And we're already done";Bait ini menggambarkan perasaan kecewa dan kebingungan dalam hubungan yang baru saja dimulai, di mana komitmen yang terlalu cepat dari pasangan justru menciptakan jarak dan mengakhiri hubungan sebelum benar-benar berkembang.;genius.com
Scorpion;Summer Games;Verse 1;"Yeah, you say I led you on, but you followed me
I follow one of your friends, you unfollow me
Then you block them so they can't see
You liking someone just like me
I expected more from you honestly
Said you want a simple life and that's not me
How you go from that to endin' up with someone just like…?";Bait ini menggambarkan perasaan kecewa dan kebingungan Drake terhadap perubahan sikap pasangannya yang awalnya menginginkan kehidupan sederhana, namun akhirnya beralih kepada seseorang yang lebih mirip dengan dirinya, yang terasa seperti pengkhianatan.;genius.com
Scorpion;Summer Games;Chorus;"How can you be angry on a night in July
And be warm with me when it's freezing outside
You're confusin' me
Don't have me wastin' my time
Yeah, you said ""I love you"" too fast
So much for that, girl
Summer just started, and we're already done";Bait ini menggambarkan kebingungan Drake terhadap ketidakpastian dan perubahan sikap pasangan yang terasa kontradiktif, di mana meskipun ada perasaan hangat dan cinta, hubungan tersebut dengan cepat berakhir, meninggalkan perasaan frustasi.;genius.com
Scorpion;Summer Games;Verse 2;"I kept it decent
I kept you sane, I kept it peaceful, don't lie
I kept it decent
Even the secrets, kept it between you and I";Bait ini menggambarkan usaha Drake untuk menjaga hubungan tetap stabil, dengan berusaha menjaga kedamaian dan kerahasiaan, meskipun hubungan tersebut pada akhirnya tetap berakhir. Ia merasa telah melakukan bagiannya untuk menjaga segalanya tetap baik.;genius.com
Scorpion;Summer Games;Bridge;"Breakin' my heart, tearin' me apart
Breakin' me down when I'm already down
Breakin' my heart– breakin' my heart– breakin' my heart
Breakin' my heart– breakin' my heart–
Brea– brea– brea– brea– brea– brea– brea– brea
Breakin' my heart, tearin' me apart
Breakin' me down when I'm already down
Breakin' my heart– breakin' my heart– breakin' my heart
Breakin' my heart– breakin' my heart–
Brea– brea– brea– brea– brea– brea– brea– brea– brea";Bait ini menggambarkan rasa sakit yang mendalam akibat perasaan dihancurkan, baik secara emosional maupun mental, oleh hubungan yang sudah terjalin. Lirik yang berulang menunjukkan intensitas dan ketidakberdayaan Drake menghadapi rasa sakit tersebut.;genius.com
Scorpion;Summer Games;Chorus;"You said ""I love you"" too fast
So much for that, girl
Summer just started, and we're already done
How can you be angry on a night in July
And be warm with me when it's freezing outside
You're confusin' me, don't have me wastin' my time
Yeah, you said ""I love you"" too fast
So much for that, girl
Summer just started, and we're already done";Bait ini mencerminkan kebingungan dan ketidakpastian Drake dalam hubungan yang cepat berubah, di mana perasaan yang terlalu cepat berkembang berakhir dengan kekecewaan. Lirik ini menggambarkan kesulitan dalam menghadapi hubungan yang penuh kontradiksi dan ekspektasi yang tidak tercapai.;genius.com
Scorpion;Jaded;Verse 1: Drake & Ty Dolla $ign;"Leaving me (leavin' me)
Dippin' out on me (on me)
Already got what you needed, I guess
Quickly (Quickly) learned yourself through me (Through me)
Already gave you what you needed, I guess (Ooh yeah)
I guess (Yeah) yeah
That's why I'm not with nobody (Ooh yeah)
Cause I don't wanna hurt nobody (Ooh yeah)
Did it over text, didn't call me (Ooh yeah)
Still got love for you, mami
I know you wanna be somebody
Even if you gotta leave somebody (Body) yeah";Bait ini menggambarkan perasaan Drake yang terluka karena seseorang yang ia cintai pergi setelah mendapatkan apa yang ia inginkan, sementara Drake berusaha menjaga jarak dari hubungan lain untuk menghindari menyakiti orang lain. Lirik ini mencerminkan perasaan pengkhianatan dan kesedihan dalam hubungan yang tidak berbalas.;genius.com
Scorpion;Jaded;Chorus: Drake & Ty Dolla $ign;"Yes I'm hurting, yes I'm jaded (Jaded)
Most of these things I don't wanna say (Jaded)
I wanna be around while you chasin' (While you chasin' it)
You wanna hit me up when you make it
You'll try and come back when you famous
I always want the truth but it's dangerous (Dangerous, oh)
You got somethin' real, not basic (Ooh yeah)
You wanna get with me, stop
Yes I'm hurting, yes I'm jaded (Jaded)
Most of these things, I don't wanna say (Say)
I wanna be around while you chasin'
(Wanna be around, wanna be around)
You wanna hit me up when you make it (Ooh, yeah)
You'll try and come back when you famous
(Back around, back around)
I always want the truth but it's dangerous (Dangerous)
You got somethin' real, not basic
You wanna get with me, stop (Flakin')
Yeah, dogs on this side, dogs over on this side
(Ooh yeah, ooh yeah, ooh yeah)";Bait ini mencerminkan perasaan terluka dan kecewa Drake terhadap seseorang yang hanya mendekatinya ketika mereka mencapai kesuksesan, sementara Drake ingin kejujuran dan kedekatan yang nyata. Ia merasa bingung dan jenuh dengan permainan perasaan yang hanya terjadi ketika orang tersebut menjadi terkenal.;genius.com
